,Time,xVolt,yVolt
1034,2725,1656,1653
1035,2727,1662,1659
1036,2730,1650,1662
1037,2733,1640,1643
1038,2735,1653,1650
1039,2738,1656,1653
1040,2741,1656,1653
1041,2743,1653,1659
1042,2747,1653,1650
1043,2750,1653,1656
1044,2752,1640,1662
1045,2755,1640,1662
1046,2758,1650,1656
1047,2760,1662,1656
1048,2763,1646,1653
1049,2765,1643,1659
1050,2768,1650,1646
1051,2771,1650,1656
1052,2773,1656,1650
1053,2776,1653,1653
1054,2779,1656,1650
1055,2781,1653,1653
1056,2784,1650,1653
1057,2787,1653,1656
1058,2790,1650,1650
1059,2793,1656,1662
1060,2796,1662,1653
1061,2798,1659,1653
1062,2801,1646,1659
1063,2804,1662,1646
1064,2806,1656,1656
1065,2809,1659,1650
1066,2812,1650,1653
1067,2814,1646,1643
1068,2817,1656,1659
1069,2820,1659,1659
1070,2822,1653,1659
1071,2825,1650,1666
1072,2828,1659,1646
1073,2830,1656,1662
1074,2834,1650,1656
1075,2837,1662,1653
1076,2839,1653,1646
1077,2842,1666,1656
1078,2845,1656,1659
1079,2847,1650,1650
1080,2850,1656,1653
1081,2852,1659,1646
1082,2855,1650,1653
1083,2858,1650,1659
1084,2860,1653,1659
1085,2863,1653,1646
1086,2866,1643,1643
1087,2868,1646,1653
1088,2871,1646,1659
1089,2875,1656,1650
1090,2877,1659,1662
1091,2880,1643,1656
1092,2883,1640,1650
1093,2885,1653,1650
1094,2888,1659,1650
1095,2891,1646,1662
1096,2893,1650,1646
1097,2896,1653,1653
1098,2899,1637,1646
1099,2901,1656,1646
1100,2904,1653,1656
1101,2907,1659,1656
1102,2909,1653,1653
1103,2912,1650,1659
1104,2915,1650,1653
1105,2918,1653,1653
1106,2921,1659,1650
1107,2924,1659,1659
1108,2926,1650,1650
1109,2929,1646,1656
1110,2932,1662,1653
1111,2934,1650,1643
1112,2937,1659,1653
1113,2939,1653,1659
1114,2942,1653,1662
1115,2945,1656,1650
1116,2947,1650,1659
1117,2950,1646,1640
1118,2953,1656,1656
1119,2955,1653,1650
1120,2958,1653,1666
1121,2962,1653,1666
1122,2964,1653,1643
1123,2967,1659,1653
1124,2970,1646,1656
1125,2972,1656,1646
1126,2975,1650,1650
1127,2978,1653,1662
1128,2980,1656,1656
1129,2983,1662,1653
1130,2986,1643,1656
1131,2988,1666,1656
1132,2991,1646,1662
1133,2994,1653,1659
1134,2996,1646,1650
1135,2999,1666,1653
1136,3003,1646,1653
1137,3005,1653,1666
1138,3008,1659,1656
1139,3011,1656,1653
1140,3013,1650,1646
1141,3016,1653,1653
1142,3019,1659,1646
1143,3021,1646,1662
1144,3024,1656,1656
1145,3026,1650,1653
1146,3029,1646,1662
1147,3032,1646,1653
1148,3034,1653,1653
1149,3037,1656,1650
1150,3040,1656,1656
1151,3042,1650,1646
1152,3046,1662,1650
1153,3049,1650,1656
1154,3051,1643,1650
1155,3054,1650,1650
1156,3057,1653,1662
1157,3059,1643,1659
1158,3062,1653,1672
1159,3065,1646,1659
1160,3067,1646,1653
1161,3070,1656,1659
1162,3073,1669,1650
1163,3075,1650,1650
1164,3078,1640,1662
1165,3081,1643,1653
1166,3083,1659,1650
1167,3086,1650,1666
1168,3090,1653,1656
1169,3092,1653,1653
1170,3095,1650,1662
1171,3098,1643,1643
1172,3100,1646,1650
1173,3103,1653,1646
1174,3106,1656,1653
1175,3108,1666,1653
1176,3111,1659,1656
1177,3113,1646,1650
1178,3116,1650,1662
1179,3119,1653,1656
1180,3121,1653,1650
1181,3124,1653,1650
1182,3127,1653,1653
1183,3130,1653,1646
1184,3133,1650,1656
1185,3136,1643,1656
1186,3138,1653,1659
1187,3141,1653,1656
1188,3144,1656,1643
1189,3146,1643,1650
1190,3149,1650,1656
1191,3152,1666,1650
1192,3154,1656,1656
1193,3157,1653,1666
1194,3160,1650,1653
1195,3162,1650,1656
1196,3165,1656,1646
1197,3168,1646,1656
1198,3170,1656,1656
1199,3174,1666,1650
1200,3177,1650,1653
1201,3179,1646,1653
1202,3182,1643,1643
1203,3185,1646,1659
1204,3187,1656,1656
1205,3190,1656,1659
1206,3193,1653,1656
1207,3195,1656,1656
1208,3198,1637,1656
1209,3200,1640,1659
1210,3203,1650,1656
1211,3206,1653,1650
1212,3208,1659,1656
1213,3211,1646,1662
1214,3214,1650,1656
1215,3217,1656,1656
1216,3220,1650,1653
1217,3223,1656,1656
1218,3225,1656,1656
1219,3228,1653,1646
1220,3231,1640,1659
1221,3233,1662,1646
1222,3236,1659,1656
1223,3239,1653,1653
1224,3241,1653,1669
1225,3244,1653,1646
1226,3247,1650,1650
1227,3249,1646,1646
1228,3252,1656,1650
1229,3255,1653,1659
1230,3258,1656,1653
1231,3261,1669,1659
1232,3264,1653,1643
1233,3266,1643,1656
1234,3269,1656,1643
1235,3272,1656,1659
1236,3274,1656,1669
1237,3277,1653,1656
1238,3280,1656,1653
1239,3282,1656,1656
1240,3285,1646,1659
1241,3287,1646,1656
1242,3290,1650,1656
1243,3293,1653,1656
1244,3295,1659,1646
1245,3298,1640,1650
1246,3302,1643,1646
1247,3304,1662,1646
1248,3307,1659,1669
1249,3310,1646,1662
1250,3312,1650,1672
1251,3315,1650,1646
1252,3318,1650,1656
1253,3320,1656,1650
1254,3323,1650,1659
1255,3326,1650,1656
1256,3328,1643,1643
1257,3331,1646,1643
1258,3334,1650,1650
1259,3336,1650,1653
1260,3339,1656,1659
1261,3342,1656,1659
1262,3345,1650,1643
1263,3348,1653,1653
1264,3351,1650,1653
1265,3353,1656,1656
1266,3356,1659,1659
1267,3359,1650,1656
1268,3361,1646,1656
1269,3364,1650,1653
1270,3367,1643,1662
1271,3369,1659,1656
1272,3372,1662,1659
1273,3374,1653,1646
1274,3377,1650,1659
1275,3380,1650,1653
1276,3382,1653,1650
